id,nfr_code,description
157,1B2b2,Unknown
158,1B2b3,Unknown
159,1B2b4,Unknown
160,1B2b5,Unknown
161,1B2c1i,Unknown
162,1B2c1ii,Unknown
163,1B2c2i,Unknown
164,1B2c2ii,Unknown
165,2A4a,Unknown
166,2A4b,Unknown
167,2A4d,Unknown
168,2B10,Unknown
169,2B8a,Unknown
170,2B8b,Unknown
171,2B8c,Unknown
172,2B8d,Unknown
173,2B8e,Unknown
174,2B8f,Unknown
175,2B8g,Unknown
176,2B9a1,Unknown
177,2B9b3,Unknown
178,2C1a,Unknown
179,2C1b,Unknown
180,2C1d,Unknown
181,2C3a,Unknown
182,2C3b,Unknown
183,2D1,Unknown
184,2D2,Unknown
185,2D3,Unknown
186,2E+01,Unknown
187,2F1a,Unknown
188,2F1b,Unknown
189,2F1c,Unknown
190,2F1d,Unknown
191,2F1e,Unknown
192,2F1f,Unknown
193,2F2a,Unknown
194,2F2b,Unknown
195,2F3,Unknown
196,2F4a,Unknown
197,2F4b,Unknown
198,2F5,Unknown
199,2F6b,Unknown
200,2G1,Unknown
201,2G2a,Unknown
202,2G2b,Unknown
203,2G2e,Unknown
204,2G3a,Unknown
205,2G3b,Unknown
206,2G4,Unknown
207,3A1a,Unknown
208,3A1b,Unknown
209,3A2,Unknown
210,3A3,Unknown
211,3A4,Unknown
212,3B11a,Unknown
213,3B11b,Unknown
214,3B12,Unknown
215,3B13,Unknown
216,3B14,Unknown
217,3B21a,Unknown
218,3B21b,Unknown
219,3B22,Unknown
220,3B23,Unknown
221,3B24,Unknown
222,3B25,Unknown
223,3D11,Unknown
224,3D12a,Unknown
225,3D12b,Unknown
226,3D12c,Unknown
227,3D13,Unknown
228,3D14,Unknown
229,3D15,Unknown
230,3D16,Unknown
231,3D21,Unknown
232,3D22,Unknown
233,3F11,Unknown
234,3F12,Unknown
235,3F14,Unknown
236,3F5,Unknown
237,3G1,Unknown
238,3G2,Unknown
239,3H,Unknown
240,3J,Unknown
241,4,Unknown
242,4A,Unknown
243,4A1,Unknown
244,4A2,Unknown
245,4B1,Unknown
246,4B2,Unknown
247,4C,Unknown
248,4C1,Unknown
249,4C2,Unknown
250,4D,Unknown
251,4D1,Unknown
252,4D2,Unknown
253,4E,Unknown
254,4E+01,Unknown
255,4E+02,Unknown
256,4G,Unknown
257,5A1a,Unknown
258,5B1a,Unknown
259,5B2a,Unknown
260,5C1.1b,Unknown
261,5C1.2a,Unknown
262,5C1.2b,Unknown
263,5C2.1b,Unknown
264,5C2.2b,Unknown
265,Aviation_Bunkers,Unknown
266,Marine_Bunkers,Unknown
267,non-IPCC,Unknown
268,1B1ai1,Unknown
269,1B1ai2,Unknown
270,1B1ai3,Unknown
271,1B1aii1,Unknown
272,1B1bi,Unknown
273,1B1bii,Unknown
274,1B2aii,Unknown
275,1B2aiii,Unknown
276,1B2avi1,Unknown
277,1B2bi,Unknown
278,1B2bii,Unknown
279,1B2biii,Unknown
280,1B2biv,Unknown
281,1B2bv,Unknown
282,1B2bvi1,Unknown
283,1B2ci1,Unknown
284,1B2ci2,Unknown
285,1B2cii1,Unknown
286,1B2cii2,Unknown
287,1D1a,Unknown
288,1D1b,Unknown
289,2B8gii,Unknown
290,2B9ai,Unknown
291,2B9biv,Unknown
292,2G2eii,Unknown
293,2G3bi,Unknown
294,2G3bii,Unknown
295,3A4c,Unknown
296,3A4d,Unknown
297,3A4e,Unknown
298,3B4c,Unknown
299,3B4g,Unknown
300,3B5,Unknown
301,3D1a,Unknown
302,3D1bi,Unknown
303,3D1bii,Unknown
304,3D1biii,Unknown
305,3D1c,Unknown
306,3D1d,Unknown
307,3D1e,Unknown
308,3D1f,Unknown
309,3D2a,Unknown
310,3D2b,Unknown
311,3F1a,Unknown
312,3F1b,Unknown
313,3F1d,Unknown
314,4A(II),Unknown
315,4A1(IV)b,Unknown
316,4A2(I),Unknown
317,4A2b,Unknown
318,4A2b(III),Unknown
319,4A2c,Unknown
320,4A2c(III),Unknown
321,4A2e,Unknown
322,4A2e(III),Unknown
323,4B,Unknown
324,4B(II),Unknown
325,4B1(IV)b,Unknown
326,4B2(IV)a,Unknown
327,4B2a,Unknown
328,4B2a(III),Unknown
329,4B2c,Unknown
330,4B2e,Unknown
331,4C(II),Unknown
332,4C1(III),Unknown
333,4C1(IV)b,Unknown
334,4C2(IV)a,Unknown
335,4C2a,Unknown
336,4C2a(III),Unknown
337,4C2b,Unknown
338,4C2e,Unknown
339,4D(II),Unknown
340,4D1a,Unknown
341,4D1c,Unknown
342,4D2(IV)a,Unknown
343,4D2a,Unknown
344,4D2biii,Unknown
345,4D2ci,Unknown
346,4D2cii,Unknown
347,4E(II),Unknown
348,4E1(III),Unknown
349,4E2(IV)a,Unknown
350,4E2a,Unknown
351,4E2a(III),Unknown
352,4E2b,Unknown
353,4E2b(III),Unknown
354,4E2c,Unknown
355,4E2c(III),Unknown
356,4E2d,Unknown
357,4E2d(III),Unknown
358,5C1ai,Unknown
359,5C1aii4,Unknown
360,5C1bii3,Unknown
361,5C1bii5,Unknown
362,5C2ai,Unknown
363,5C2aii,Unknown
364,5C2bi,Unknown
365,5C2bii,Unknown
